# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'branch-instructions'
# Event count (approx.): 4576285169
#
# Overhead  Command  Shared Object               Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  ..........................  ..................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.21%  test     [kernel.kallsyms]           [k] charge_memcg
     0.20%  test     [kernel.kallsyms]           [k] __mod_zone_page_state
     0.19%  test     [kernel.kallsyms]           [k] __next_zones_zonelist
     0.19%  test     libjpeg.so.8.2.2            [.] 0x000000000004be69
     0.19%  test     libm.so.6                   [.] __atanf
     0.19%  test     [kernel.kallsyms]           [k] blk_cgroup_congested
     0.18%  test     [kernel.kallsyms]           [k] rmqueue_bulk
     0.18%  test     [kernel.kallsyms]           [k] __pte_offset_map
     0.18%  test     libopencv_imgproc.so.4.9.0  [.] cv::hal::opt_AVX2::(anonymous namespace)::CvtColorLoop_Invoker<cv::hal::opt_AVX2::(anonymous namespace)::RGB2Gray<unsigned char> >::operator()(cv::Range const&) const
     0.18%  test     libc.so.6                   [.] __memmove_evex_unaligned_erms
     0.18%  test     libjpeg.so.8.2.2            [.] 0x0000000000027967
     0.17%  test     [kernel.kallsyms]           [k] __mod_memcg_lruvec_state
     0.17%  test     [kernel.kallsyms]           [k] get_mem_cgroup_from_mm
     0.17%  test     [kernel.kallsyms]           [k] folio_add_lru
     0.17%  test     libjpeg.so.8.2.2            [.] 0x000000000003d550
     0.17%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7ca
     0.16%  test     test                        [.] _mm512_arctan2(float __vector(16), float __vector(16))
     0.16%  test     [kernel.kallsyms]           [k] __pte_offset_map_lock
     0.16%  test     [kernel.kallsyms]           [k] down_read_trylock
     0.16%  test     [kernel.kallsyms]           [k] try_charge_memcg
     0.16%  test     [kernel.kallsyms]           [k] up_read
     0.16%  test     libjpeg.so.8.2.2            [.] 0x0000000000007d69
     0.16%  test     libjpeg.so.8.2.2            [.] 0x000000000004c719
     0.16%  test     libjpeg.so.8.2.2            [.] 0x000000000003d561
     0.15%  test     [kernel.kallsyms]           [k] _raw_spin_trylock
     0.15%  test     [kernel.kallsyms]           [k] lru_add_fn
     0.15%  test     [kernel.kallsyms]           [k] folio_batch_move_lru
     0.15%  test     libjpeg.so.8.2.2            [.] 0x000000000003d5de
     0.15%  test     test                        [.] void _mm512_memcpy<float>(float*, float const*, unsigned long)
     0.15%  test     [kernel.kallsyms]           [k] page_remove_rmap
     0.14%  test     test                        [.] std::vector<int, std::allocator<int> >::push_back(int const&)
     0.14%  test     [kernel.kallsyms]           [k] __mod_node_page_state
     0.14%  test     [kernel.kallsyms]           [k] free_unref_page_list
     0.14%  test     test                        [.] PThreadWithPool::PerformDoubleThresholding(unsigned char*, float*, int, int, int, int)::{lambda()#1}::operator()() const
     0.14%  test     [kernel.kallsyms]           [k] count_memcg_events.constprop.0
     0.14%  test     [kernel.kallsyms]           [k] mas_walk
     0.14%  test     libjpeg.so.8.2.2            [.] 0x000000000003d544
     0.13%  test     [kernel.kallsyms]           [k] do_anonymous_page
     0.13%  test     libjpeg.so.8.2.2            [.] 0x000000000003d6b7
     0.13%  test     libopencv_imgproc.so.4.9.0  [.] cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u>::operator()(int const**, unsigned char*, short const*, int) const
     0.12%  test     libjpeg.so.8.2.2            [.] 0x00000000000271c8
     0.12%  test     libjpeg.so.8.2.2            [.] 0x00000000000271eb
     0.12%  test     libjpeg.so.8.2.2            [.] jpeg_fill_bit_buffer@plt
     0.12%  test     libjpeg.so.8.2.2            [.] 0x000000000004c737
     0.12%  test     libjpeg.so.8.2.2            [.] 0x0000000000027952
     0.12%  test     [kernel.kallsyms]           [k] uncharge_folio
     0.12%  test     [kernel.kallsyms]           [k] __mod_lruvec_page_state
     0.11%  test     [kernel.kallsyms]           [k] pte_offset_map_nolock
     0.11%  test     [kernel.kallsyms]           [k] handle_pte_fault
     0.11%  test     libjpeg.so.8.2.2            [.] 0x000000000003d571
     0.11%  test     libjpeg.so.8.2.2            [.] 0x000000000003d6af
     0.11%  test     libjpeg.so.8.2.2            [.] 0x0000000000037320
     0.11%  test     [kernel.kallsyms]           [k] __mem_cgroup_charge
     0.10%  test     libjpeg.so.8.2.2            [.] 0x000000000004becd
     0.10%  test     libjpeg.so.8.2.2            [.] 0x000000000002724c
     0.10%  test     libjpeg.so.8.2.2            [.] 0x000000000004c70d
     0.10%  test     libjpeg.so.8.2.2            [.] 0x000000000003d5bf
     0.10%  test     libjpeg.so.8.2.2            [.] 0x00000000000271f5
     0.10%  test     libjpeg.so.8.2.2            [.] 0x000000000004be44
     0.10%  test     libjpeg.so.8.2.2            [.] 0x000000000002785c
     0.10%  test     libjpeg.so.8.2.2            [.] 0x000000000003d62f
     0.10%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6ad
     0.10%  test     [kernel.kallsyms]           [k] sync_regs
     0.10%  test     libjpeg.so.8.2.2            [.] 0x00000000000156ae
     0.09%  test     libjpeg.so.8.2.2            [.] jpeg_huff_decode
     0.09%  test     libjpeg.so.8.2.2            [.] 0x000000000003d8ba
     0.09%  test     libjpeg.so.8.2.2            [.] 0x0000000000006119
     0.09%  test     libjpeg.so.8.2.2            [.] 0x000000000003d59c
     0.09%  test     [kernel.kallsyms]           [k] free_unref_page_commit
     0.09%  test     libjpeg.so.8.2.2            [.] 0x000000000004c711
     0.09%  test     libjpeg.so.8.2.2            [.] 0x000000000004bee9
     0.09%  test     libjpeg.so.8.2.2            [.] 0x000000000004be75
     0.08%  test     libjpeg.so.8.2.2            [.] 0x000000000003d5fb
     0.08%  test     [kernel.kallsyms]           [k] mem_cgroup_from_task
     0.08%  test     [kernel.kallsyms]           [k] post_alloc_hook
     0.08%  test     [kernel.kallsyms]           [k] do_user_addr_fault
     0.08%  test     [kernel.kallsyms]           [k] __irqentry_text_end
     0.08%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7b3
     0.08%  test     [kernel.kallsyms]           [k] _compound_head
     0.08%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7c2
     0.08%  test     libjpeg.so.8.2.2            [.] 0x0000000000007d6e
     0.08%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6ec
     0.08%  test     [kernel.kallsyms]           [k] mem_cgroup_css_rstat_flush
     0.08%  test     libjpeg.so.8.2.2            [.] 0x0000000000015561
     0.08%  test     libjpeg.so.8.2.2            [.] 0x000000000003d53c
     0.08%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7a5
     0.07%  test     libjpeg.so.8.2.2            [.] 0x000000000002792e
     0.07%  test     libjpeg.so.8.2.2            [.] 0x000000000003d617
     0.07%  test     libjpeg.so.8.2.2            [.] 0x000000000003d799
     0.07%  test     libjpeg.so.8.2.2            [.] 0x000000000004beff
     0.07%  test     libjpeg.so.8.2.2            [.] 0x000000000004bed1
     0.07%  test     libjpeg.so.8.2.2            [.] 0x000000000003d79d
     0.07%  test     [kernel.kallsyms]           [k] crypto_shash_update
     0.07%  test     [kernel.kallsyms]           [k] __mod_lruvec_state
     0.07%  test     [kernel.kallsyms]           [k] __folio_alloc
     0.07%  test     libjpeg.so.8.2.2            [.] 0x000000000004c715
     0.07%  test     libjpeg.so.8.2.2            [.] 0x0000000000007d62
     0.07%  test     libjpeg.so.8.2.2            [.] 0x00000000000155c3
     0.06%  test     libjpeg.so.8.2.2            [.] 0x0000000000027229
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000004be87
     0.06%  test     libjpeg.so.8.2.2            [.] 0x00000000000271a0
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000002797f
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000003d8b3
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000004be8f
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7a9
     0.06%  test     libjpeg.so.8.2.2            [.] 0x0000000000027a67
     0.06%  test     [kernel.kallsyms]           [k] send_to_group
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6fb
     0.06%  test     libjpeg.so.8.2.2            [.] 0x0000000000027244
     0.06%  test     libjpeg.so.8.2.2            [.] 0x00000000000271cd
     0.06%  test     libjpeg.so.8.2.2            [.] 0x0000000000027962
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000004bee0
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7eb
     0.06%  test     [kernel.kallsyms]           [k] vm_normal_page
     0.06%  test     libjpeg.so.8.2.2            [.] 0x0000000000027a3f
     0.06%  test     libjpeg.so.8.2.2            [.] 0x0000000000027bf4
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000004be83
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000004c23a
     0.06%  test     [kernel.kallsyms]           [k] free_swap_cache
     0.05%  test     [kernel.kallsyms]           [k] __rmqueue_pcplist
     0.05%  test     libjpeg.so.8.2.2            [.] 0x00000000000270d1
     0.05%  test     libjpeg.so.8.2.2            [.] 0x00000000000156be
     0.05%  test     libjpeg.so.8.2.2            [.] 0x0000000000028b97
     0.05%  test     [kernel.kallsyms]           [k] xas_store
     0.05%  test     [kernel.kallsyms]           [k] _find_first_bit
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000003d57d
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000004be6f
     0.05%  test     test                        [.] std::vector<int, std::allocator<int> >::size() const
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000003d78b
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000004be8b
     0.05%  test     [kernel.kallsyms]           [k] access_error
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000004be97
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000002793e
     0.05%  test     libjpeg.so.8.2.2            [.] 0x0000000000027234
     0.05%  test     libm.so.6                   [.] __atan2f_finite@GLIBC_2.15
     0.05%  test     test                        [.] void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7f3
     0.05%  test     libjpeg.so.8.2.2            [.] 0x00000000000271fa
     0.05%  test     libjpeg.so.8.2.2            [.] 0x0000000000028b90
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000003d6cf
     0.05%  test     [kernel.kallsyms]           [k] up_write
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000000610b
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000002795b
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6f1
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000003d790
     0.04%  test     [kernel.kallsyms]           [k] memcg_slab_post_alloc_hook
     0.04%  test     [kernel.kallsyms]           [k] _raw_spin_unlock
     0.04%  test     [kernel.kallsyms]           [k] __raw_spin_lock_irqsave
     0.04%  test     libjpeg.so.8.2.2            [.] 0x00000000000271ab
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6a5
     0.04%  test     [kernel.kallsyms]           [k] policy_node
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000003d603
     0.04%  test     [kernel.kallsyms]           [k] filemap_get_folios_tag
     0.04%  test     libjpeg.so.8.2.2            [.] 0x0000000000027a46
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000003d64b
     0.04%  test     [kernel.kallsyms]           [k] pmd_val
     0.04%  test     [kernel.kallsyms]           [k] memset_orig
     0.04%  test     libjpeg.so.8.2.2            [.] 0x00000000000271c0
     0.04%  test     [kernel.kallsyms]           [k] ext4_fill_raw_inode
     0.04%  test     [kernel.kallsyms]           [k] __fget_light
     0.04%  test     [kernel.kallsyms]           [k] ext4_do_update_inode.isra.0
     0.04%  test     [kernel.kallsyms]           [k] error_entry
     0.04%  test     test                        [.] void _mm512_memcpy<unsigned char>(unsigned char*, unsigned char const*, unsigned long)
     0.04%  test     [kernel.kallsyms]           [k] __filemap_add_folio
     0.04%  test     libtbb.so.12.12             [.] tbb::detail::d1::task* tbb::detail::r1::task_dispatcher::local_wait_for_all<false, tbb::detail::r1::outermost_worker_waiter>(tbb::detail::d1::task*, tbb::detail::r1::outermost_worker_waiter&)
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000003d8b0
     0.04%  test     libjpeg.so.8.2.2            [.] 0x0000000000027237
     0.04%  test     libjpeg.so.8.2.2            [.] 0x0000000000027218
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000004c47e
     0.04%  test     libjpeg.so.8.2.2            [.] 0x0000000000048e47
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7e2
     0.04%  test     [kernel.kallsyms]           [k] pud_val
     0.04%  test     [kernel.kallsyms]           [k] should_fail_alloc_page
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000007dad
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c252
     0.03%  test     [kernel.kallsyms]           [k] policy_nodemask
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000027922
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000027955
     0.03%  test     [kernel.kallsyms]           [k] consume_stock
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c2af
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004beb7
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000027265
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c812
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000027241
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7db
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c684
     0.03%  test     [kernel.kallsyms]           [k] balance_dirty_pages_ratelimited_flags
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6c2
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000003d797
     0.03%  test     libjpeg.so.8.2.2            [.] jpeg_huff_decode@plt
     0.03%  test     [kernel.kallsyms]           [k] native_queued_spin_lock_slowpath
     0.03%  test     [kernel.kallsyms]           [k] truncate_cleanup_folio
     0.03%  test     [kernel.kallsyms]           [k] jbd2_journal_grab_journal_head
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000027958
     0.03%  test     [kernel.kallsyms]           [k] asm_exc_page_fault
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c303
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000027260
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000002708e
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004bebb
     0.03%  test     libjpeg.so.8.2.2            [.] 0x00000000000271f1
     0.03%  test     [kernel.kallsyms]           [k] down_read
     0.03%  test     libjpeg.so.8.2.2            [.] 0x00000000000270d8
     0.03%  test     libjpeg.so.8.2.2            [.] 0x00000000000155f6
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c4ce
     0.03%  test     test                        [.] std::atan2(float, float)
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000002787d
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000027850
     0.03%  test     libjpeg.so.8.2.2            [.] 0x00000000000155b0
     0.03%  test     libjpeg.so.8.2.2            [.] 0x00000000000059e7
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c700
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000027bf0
     0.03%  test     [kernel.kallsyms]           [k] __filemap_get_folio
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000015617
     0.03%  test     [kernel.kallsyms]           [k] __srcu_read_unlock
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000048e25
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000006141
     0.03%  test     [kernel.kallsyms]           [k] __fsnotify_parent
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c2ff
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004be7b
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004bef7
     0.03%  test     [kernel.kallsyms]           [k] memcg_check_events
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000007d59
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000003d8b6
     0.03%  test     [kernel.kallsyms]           [k] delete_from_page_cache_batch
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c7f3
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000003d527
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c1af
     0.03%  test     [kernel.kallsyms]           [k] filemap_get_folios
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000028b7e
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000048e43
     0.02%  test     [kernel.kallsyms]           [k] __get_obj_cgroup_from_memcg
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d455
     0.02%  test     [kernel.kallsyms]           [k] __folio_start_writeback
     0.02%  test     test                        [.] decltype (::new ((void*)(0)) int((declval<int const&>)())) std::construct_at<int, int const&>(int*, int const&)
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000271c6
     0.02%  test     [kernel.kallsyms]           [k] __ext4_journal_get_write_access
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000007d54
     0.02%  test     [kernel.kallsyms]           [k] kthread_blkcg
     0.02%  test     libz.so.1.2.11              [.] inflate
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000028ba0
     0.02%  test     [kernel.kallsyms]           [k] ext4_da_map_blocks.constprop.0
     0.02%  test     [kernel.kallsyms]           [k] irqentry_exit_to_user_mode
     0.02%  test     [kernel.kallsyms]           [k] _raw_spin_unlock_irqrestore
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000028b82
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000059e2
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d508
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004c36a
     0.02%  test     [kernel.kallsyms]           [k] fpregs_assert_state_consistent
     0.02%  test     [kernel.kallsyms]           [k] ext4_block_write_begin
     0.02%  test     test                        [.] operator new(unsigned long, void*)
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027937
     0.02%  test     [kernel.kallsyms]           [k] kmem_cache_alloc
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027aa3
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000048e62
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027950
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000007db7
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027853
     0.02%  test     [kernel.kallsyms]           [k] psi_group_change
     0.02%  test     [kernel.kallsyms]           [k] block_invalidate_folio
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027860
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000006135
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004c699
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004c36f
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000156bb
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004c2ab
     0.02%  test     [kernel.kallsyms]           [k] fsnotify
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000271ee
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000008e72
     0.02%  test     [kernel.kallsyms]           [k] _raw_spin_lock_irq
     0.02%  test     [kernel.kallsyms]           [k] jbd2_journal_stop
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000007d47
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000206c3
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6cf
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027a39
     0.02%  test     [kernel.kallsyms]           [k] jbd2_journal_dirty_metadata
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000155b7
     0.02%  test     [kernel.kallsyms]           [k] mpage_prepare_extent_to_map
     0.02%  test     [kernel.kallsyms]           [k] xas_set_mark
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d611
     0.02%  test     [kernel.kallsyms]           [k] mod_zone_page_state
     0.02%  test     [kernel.kallsyms]           [k] obj_cgroup_charge
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000048e1d
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d50c
     0.02%  test     [kernel.kallsyms]           [k] syscall_exit_to_user_mode
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d60d
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d5a9
     0.02%  test     libm.so.6                   [.] __atan2f
     0.02%  test     [kernel.kallsyms]           [k] kmem_cache_free
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004c1e3
     0.02%  test     test                        [.] int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d65b
     0.02%  test     test                        [.] std::vector<int, std::allocator<int> >::operator[](unsigned long)
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004c43d
     0.02%  test     [kernel.kallsyms]           [k] __get_vma_policy
     0.02%  test     [kernel.kallsyms]           [k] _raw_read_lock
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000018fbc
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000028b87
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6d7
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000007dfc
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004c26a
